名称,标签,地址,简介,图片URL,详情页
峨嵋酒家,美食老字号,西城区北礼士路58号,峨嵋酒家开业于1950年，是北京第一家经营川菜的老字号饭庄。,https://r1.visitbeijing.com.cn/vbj-s/2012/1209/20121209092332222.jpg,https://s.visitbeijing.com.cn/food/61
致美斋,美食老字号,西城区白广路35号（66中学旁）,北京致美斋饭庄，始创于明末清初，于嘉庆13年（1808）在前门外煤市街建店。,https://r1.visitbeijing.com.cn/vbj-s/2012/1208/20121208011418940.jpg,https://s.visitbeijing.com.cn/food/54
同和居,美食老字号,西城区三里河月坛南街甲71号,同和居饭庄是北京最早经营山东风味菜的中华老字号，开业于清道光二年(1822年)，主营山东福山帮菜，以“同怀和悦”为意，定下同和居的字号。同和居饭庄系京城著名“八大居”。,https://r1.visitbeijing.com.cn/vbj-s/2012/1206/20121206031120666.jpg,https://s.visitbeijing.com.cn/food/10
全聚德,美食老字号,西城区前门西大街14号楼,全聚德菜品经过不断创新发展，形成了以独具特色的全聚德烤鸭为龙头,https://r1.visitbeijing.com.cn/vbj-s/2012/1205/20121205032621185.jpg,https://s.visitbeijing.com.cn/food/1
听鹂馆,美食老字号,北京市海淀区颐和园公园内,听鹂馆，一个颇有历史价值的中华老字号宫廷风味饭庄、国家级特级餐馆、北京市旅游局五星餐馆和中国药膳名店，以宫廷风味菜肴、满汉全席、宫廷御膳、宫廷寿膳、宫廷滋补药膳闻名于世。,https://r1.visitbeijing.com.cn/vbj-s/2013/0527/20130527050904426.jpg,https://s.visitbeijing.com.cn/food/158
龙门醋坊,美食老字号,北京市海淀区西四环中路定慧家园3号楼B1楼(定慧北桥东南角),"龙门醋厂原称龙门醋坊，始建于清嘉庆二十五年（1820年）。龙门醋厂生产的食醋以优质大米为主要原料，质地纯正,酸味柔和，入口微甜，有陈醋、香醋、米醋、熏醋等四大系列，深受全国各地",https://r1.visitbeijing.com.cn/vbj-s/2013/0522/20130522051208814.jpg,https://s.visitbeijing.com.cn/food/144
厚德福酒楼,美食老字号,北京市门头沟区斋堂镇爨底下村2院1号,厚德福酒楼始建于清光绪二十八年（1902年），主营豫菜，初始地址在北京大栅栏，现址在西城德内大街262号。,https://r1.visitbeijing.com.cn/vbj-s/2013/0110/20130110101520218.jpg,https://s.visitbeijing.com.cn/food/90
榴莲酥,烘烤类,—,榴莲酥是用榴莲果肉和面粉烤制的一种甜点。金黄诱人的榴莲酥以新鲜榴莲果肉配制的软滑馅心，配以层次分明、异常松化、做工精细的酥皮，令人食指大动。吃完后淡淡的榴莲味让人“榴莲”,https://r1.visitbeijing.com.cn/vbj-s/2017/0803/20170803044045523.png,https://s.visitbeijing.com.cn/food/426
北京礼物,美食老字号,—,“北京礼物”是北京市政府在北京奥运会后，为进一步规范旅游商品消费市场，促进旅游商品市场消费，多企业合作和多产业联盟。,https://r1.visitbeijing.com.cn/vbj-s/2017/0614/20170614033418587.jpg,https://s.visitbeijing.com.cn/food/424
华鹏食品,美食老字号,—,北京华鹏食品有限公司，始于1993年，中华老字号，专业从事生产各种冷冻豆沙馅、豆制品的中外合资企业。,https://r1.visitbeijing.com.cn/vbj-s/2017/0527/20170527063722261.jpg,https://s.visitbeijing.com.cn/food/423
京晶,美食老字号,—,中盐北京市盐业公司，京晶，知名食盐品牌，始建于1949年，中华老字号，直属于中国盐业总公司，国有食盐专营批发企业。,https://r1.visitbeijing.com.cn/vbj-s/2017/0527/20170527063510171.jpg,https://s.visitbeijing.com.cn/food/422
仙源,美食老字号,北苑南路日光清城汽车站边上的底商,北京仙源食品酿造有限公司，始建于1918年，知名的优质调味品供应商，从事酱油、米醋和粉丝等产品的生产、销售的企业。,https://r1.visitbeijing.com.cn/vbj-s/2017/0527/20170527054600820.jpg,https://s.visitbeijing.com.cn/food/419
龙门食醋,美食老字号,—,龙门牌，食醋十大品牌，创于1820年，北京名牌产品，中华老字号，专注于经营酱油、食醋类调味品，集生产制造、批发零售、贸易出口、技术咨询为一体的现代化食品工业企业。,https://r1.visitbeijing.com.cn/vbj-s/2017/0526/20170526060450901.jpg,https://s.visitbeijing.com.cn/food/416
金狮,美食老字号,—,金狮，创于1938年，中华老字号，北京名牌产品，致力于酱油、食醋类调味品领域，集生产制造、批发零售、贸易出口、技术咨询为一体的现代化食品工业企业。,https://r1.visitbeijing.com.cn/vbj-s/2017/0526/20170526054158989.jpg,https://s.visitbeijing.com.cn/food/413
