id,destination_id,node_name,node_type,ref_id,lng,lat,floor_no
,10,哈利波特与禁忌之旅,place,,116.687116,39.856672,
,10,霍格沃茨城堡,place,,116.686315,39.856712,
,10,奥利凡德,place,,116.686070,39.856118,
,10,鹰马飞行,place,,116.687307,39.856484,
,10,三把扫帚,facility,,116.686070,39.856118,
,10,霸天虎过山车,place,,116.680222,39.857796,
,10,变形金刚：传奇现场,place,,116.681062,39.857833,
,10,擎天柱雕塑,place,,116.680846,39.858277,
,10,功夫熊猫盖世之地,place,,116.683282,39.857985,
,10,功夫熊猫：神龙大侠之旅,place,,116.682575,39.858252,
,10,智慧仙桃树,place,,116.684166,39.857995,
,10,未来水世界特技表演,place,,116.686005,39.858619,
,10,赛博坦骑士餐厅,facility,,116.681439,39.858703,
,14,OSMintersection001,intersection,,116.399301,40.033970,
,14,OSMintersection002,intersection,,116.396487,40.032585,
,14,OSMintersection003,intersection,,116.406233,40.032346,
,14,OSMturn004,turn,,116.399898,40.032278,
,14,OSMturn005,turn,,116.406220,40.032117,
,14,OSMturn006,turn,,116.398986,40.032027,
,14,OSMturn007,turn,,116.402643,40.031800,
,14,OSMintersection008,intersection,,116.396500,40.031725,
,14,OSMintersection009,intersection,,116.407572,40.031658,
,14,OSMintersection010,intersection,,116.396861,40.031603,
,14,OSMintersection011,intersection,,116.396523,40.031590,
,14,OSMturn012,turn,,116.396932,40.031578,
,14,OSMturn013,turn,,116.395589,40.031561,
,14,OSMturn014,turn,,116.408163,40.031537,
,14,OSMintersection015,intersection,,116.409022,40.031455,
,14,OSMintersection016,intersection,,116.401091,40.031441,
,14,OSMintersection017,intersection,,116.405621,40.031390,
,14,OSMintersection018,intersection,,116.406206,40.031388,
,14,OSMintersection019,intersection,,116.407730,40.031380,
,14,OSMturn020,turn,,116.407794,40.031380,
,14,OSMturn021,turn,,116.408133,40.031377,
,14,OSMturn022,turn,,116.403237,40.031371,
,14,OSMintersection023,intersection,,116.397236,40.031336,
,14,OSMturn024,turn,,116.395250,40.031233,
,14,OSMturn025,turn,,116.398930,40.031099,
,14,OSMturn026,turn,,116.391159,40.030991,
,14,OSMturn027,turn,,116.400463,40.030874,
,14,OSMturn028,turn,,116.394021,40.030870,
,14,OSMintersection029,intersection,,116.403627,40.030780,
,14,OSMintersection030,intersection,,116.405299,40.030772,
,14,OSMintersection031,intersection,,116.386659,40.030771,
,14,OSMintersection032,intersection,,116.407400,40.030657,
,14,OSMturn033,turn,,116.384044,40.030627,
,14,OSMturn034,turn,,116.399044,40.030616,
,14,OSMturn035,turn,,116.395602,40.030594,
,14,OSMturn036,turn,,116.401527,40.030594,
,14,OSMturn037,turn,,116.394858,40.030591,
,14,OSMintersection038,intersection,,116.392871,40.030589,
,14,OSMturn039,turn,,116.391653,40.030578,
,14,OSMintersection040,intersection,,116.407398,40.030577,
,14,OSMturn041,turn,,116.389077,40.030545,
,14,OSMintersection042,intersection,,116.390174,40.030465,
,14,OSMturn043,turn,,116.402843,40.030423,
,14,OSMturn044,turn,,116.391991,40.030413,
,14,OSMturn045,turn,,116.399620,40.030411,
,14,OSMturn046,turn,,116.400623,40.030411,
,14,OSMintersection047,intersection,,116.383120,40.030372,
,14,OSMturn048,turn,,116.408275,40.030335,
,14,OSMintersection049,intersection,,116.381992,40.030317,
,14,OSMturn050,turn,,116.397660,40.030293,
,14,OSMturn051,turn,,116.379848,40.030261,
,14,OSMturn052,turn,,116.395481,40.030259,
,14,OSMintersection053,intersection,,116.403602,40.030243,
,14,OSMturn054,turn,,116.387552,40.030235,
,14,OSMturn055,turn,,116.389242,40.030230,
,14,OSMintersection056,intersection,,116.404424,40.030230,
,14,OSMturn057,turn,,116.404413,40.030205,
,14,OSMturn058,turn,,116.407092,40.030186,
,14,OSMturn059,turn,,116.394461,40.030176,
,14,OSMintersection060,intersection,,116.393439,40.030155,
,14,OSMturn061,turn,,116.386997,40.030069,
,14,OSMturn062,turn,,116.378847,40.030056,
,14,OSMintersection063,intersection,,116.405344,40.030052,
,14,OSMintersection064,intersection,,116.405266,40.030050,
,14,OSMintersection065,intersection,,116.399918,40.030029,
,14,OSMturn066,turn,,116.405915,40.030019,
,14,OSMturn067,turn,,116.389768,40.030009,
,14,OSMturn068,turn,,116.393878,40.029963,
,14,OSMintersection069,intersection,,116.391394,40.029952,
,14,OSMturn070,turn,,116.388050,40.029945,
,14,OSMintersection071,intersection,,116.381214,40.029934,
,14,OSMintersection072,intersection,,116.394034,40.029923,
,14,OSMturn073,turn,,116.408588,40.029908,
,14,OSMintersection074,intersection,,116.398411,40.029902,
,14,OSMintersection075,intersection,,116.400271,40.029882,
,14,OSMintersection076,intersection,,116.394169,40.029846,
,14,OSMturn077,turn,,116.396831,40.029783,
,14,OSMturn078,turn,,116.381477,40.029768,
,14,OSMintersection079,intersection,,116.406233,40.029724,
,14,OSMturn080,turn,,116.397397,40.029636,
,14,OSMintersection081,intersection,,116.391566,40.029591,
,14,OSMturn082,turn,,116.390653,40.029590,
,14,OSMturn083,turn,,116.392350,40.029560,
,14,OSMturn084,turn,,116.404306,40.029552,
,14,OSMintersection085,intersection,,116.407346,40.029535,
,14,OSMintersection086,intersection,,116.393673,40.029502,
,14,OSMturn087,turn,,116.405636,40.029464,
,14,OSMturn088,turn,,116.377694,40.029433,
,14,OSMturn089,turn,,116.400446,40.029390,
,14,OSMintersection090,intersection,,116.402948,40.029380,
,14,OSMturn091,turn,,116.408506,40.029319,
,14,OSMturn092,turn,,116.392567,40.029316,
,14,OSMturn093,turn,,116.401449,40.029304,
,14,OSMintersection094,intersection,,116.383191,40.029277,
,14,OSMintersection095,intersection,,116.399166,40.029241,
,14,OSMturn096,turn,,116.395242,40.029196,
,14,OSMintersection097,intersection,,116.406775,40.029168,
,14,OSMturn098,turn,,116.379820,40.029132,
,14,OSMintersection099,intersection,,116.380464,40.029065,
,14,OSMturn100,turn,,116.390020,40.029052,
,14,OSMturn101,turn,,116.380982,40.029022,
,14,OSMintersection102,intersection,,116.400110,40.029017,
,14,OSMintersection103,intersection,,116.404581,40.029000,
,14,OSMturn104,turn,,116.391732,40.028992,
,14,OSMintersection105,intersection,,116.404130,40.028893,
,14,OSMturn106,turn,,116.376219,40.028864,
,14,OSMturn107,turn,,116.387330,40.028827,
,14,OSMintersection108,intersection,,116.405096,40.028795,
,14,OSMturn109,turn,,116.399942,40.028790,
,14,OSMturn110,turn,,116.402824,40.028775,
,14,OSMintersection111,intersection,,116.405134,40.028772,
,14,OSMturn112,turn,,116.383657,40.028749,
,14,OSMintersection113,intersection,,116.397154,40.028722,
,14,OSMintersection114,intersection,,116.390516,40.028709,
,14,OSMintersection115,intersection,,116.390384,40.028706,
,14,OSMintersection116,intersection,,116.391352,40.028699,
,14,OSMintersection117,intersection,,116.389568,40.028690,
,14,OSMintersection118,intersection,,116.391927,40.028667,
,14,OSMintersection119,intersection,,116.407905,40.028664,
,14,OSMturn120,turn,,116.393855,40.028639,
,14,OSMturn121,turn,,116.392373,40.028626,
,14,OSMturn122,turn,,116.391055,40.028624,
,14,OSMintersection123,intersection,,116.400517,40.028612,
,14,OSMintersection124,intersection,,116.391045,40.028579,
,14,OSMturn125,turn,,116.405472,40.028565,
,14,OSMintersection126,intersection,,116.386939,40.028497,
,14,OSMintersection127,intersection,,116.374073,40.028467,
,14,OSMintersection128,intersection,,116.386747,40.028465,
,14,OSMturn129,turn,,116.397218,40.028455,
,14,OSMintersection130,intersection,,116.386617,40.028444,
,14,OSMturn131,turn,,116.388557,40.028433,
,14,OSMturn132,turn,,116.391625,40.028432,
,14,OSMturn133,turn,,116.386572,40.028429,
,14,OSMturn134,turn,,116.384830,40.028414,
,14,OSMintersection135,intersection,,116.405806,40.028413,
,14,OSMturn136,turn,,116.381735,40.028379,
,14,OSMintersection137,intersection,,116.379719,40.028351,
,14,OSMintersection138,intersection,,116.381760,40.028345,
,14,OSMintersection139,intersection,,116.406860,40.028342,
,14,OSMintersection140,intersection,,116.403137,40.028338,
,14,OSMintersection141,intersection,,116.406377,40.028312,
,14,OSMturn142,turn,,116.398922,40.028305,
,14,OSMintersection143,intersection,,116.378774,40.028300,
,14,OSMturn144,turn,,116.385986,40.028251,
,14,OSMturn145,turn,,116.377017,40.028248,
,14,OSMintersection146,intersection,,116.397090,40.028233,
,14,OSMintersection147,intersection,,116.397356,40.028226,
,14,OSMintersection148,intersection,,116.386003,40.028203,
,14,OSMturn149,turn,,116.376463,40.028179,
,14,OSMturn150,turn,,116.388386,40.028159,
,14,OSMintersection151,intersection,,116.407639,40.028138,
,14,OSMturn152,turn,,116.386031,40.028123,
,14,OSMturn153,turn,,116.383784,40.028084,
,14,OSMturn154,turn,,116.385270,40.028034,
,14,OSMintersection155,intersection,,116.403353,40.028027,
,14,OSMturn156,turn,,116.392458,40.028014,
,14,OSMintersection157,intersection,,116.386071,40.028011,
,14,OSMturn158,turn,,116.393060,40.028002,
,14,OSMturn159,turn,,116.388387,40.027974,
,14,OSMturn160,turn,,116.387878,40.027973,
,14,OSMintersection161,intersection,,116.395832,40.027968,
,14,OSMintersection162,intersection,,116.376968,40.027925,
,14,OSMintersection163,intersection,,116.379048,40.027902,
,14,OSMintersection164,intersection,,116.400705,40.027882,
,14,OSMturn165,turn,,116.376959,40.027863,
,14,OSMturn166,turn,,116.387518,40.027843,
,14,OSMturn167,turn,,116.383062,40.027835,
,14,OSMturn168,turn,,116.394413,40.027814,
,14,OSMintersection169,intersection,,116.387512,40.027805,
,14,OSMturn170,turn,,116.388304,40.027793,
,14,OSMintersection171,intersection,,116.400924,40.027791,
,14,OSMturn172,turn,,116.408138,40.027783,
,14,OSMturn173,turn,,116.388389,40.027773,
,14,OSMintersection174,intersection,,116.393155,40.027735,
,14,OSMturn175,turn,,116.402565,40.027715,
,14,OSMturn176,turn,,116.386833,40.027709,
,14,OSMturn177,turn,,116.378323,40.027680,
,14,OSMturn178,turn,,116.400031,40.027666,
,14,OSMintersection179,intersection,,116.393755,40.027642,
,14,OSMturn180,turn,,116.376804,40.027633,
,14,OSMintersection181,intersection,,116.407657,40.027617,
,14,OSMintersection182,intersection,,116.397911,40.027602,
,14,OSMturn183,turn,,116.407675,40.027594,
,14,OSMintersection184,intersection,,116.406247,40.027563,
,14,OSMturn185,turn,,116.392344,40.027516,
,14,OSMintersection186,intersection,,116.377340,40.027510,
,14,OSMintersection187,intersection,,116.381912,40.027506,
,14,OSMintersection188,intersection,,116.393349,40.027490,
,14,OSMintersection189,intersection,,116.382767,40.027485,
